l_NA2_58_40.dot	C	21	16	58,40	58:72-83:0:0:0:0:3:2:0:0:0:0:0:0:0:3:0:0:0:0:0:0|40:51-56:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0:0:0
l_NA2_58_41.dot	C	21	16	58,41	58:72-83:0:0:0:0:3:2:0:0:0:0:0:0:0:3:0:0:0:0:0:0|41:52-57:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0:0:0
l_NA2_58_42.dot	C	21	16	58,42	58:72-83:0:0:0:0:3:2:0:0:0:0:0:0:0:3:0:0:0:0:0:0|42:54-59:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0
l_NA2_58_43.dot	C	21	16	58,43	58:72-83:0:0:0:0:3:2:0:0:0:0:0:0:0:3:0:0:0:0:0:0|43:55-60:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0
l_NA4_58_40.dot	C	21	16	58,40	58:72-83:0:0:0:0:5:4:0:0:0:0:0:0:0:5:0:0:0:0:0:0|40:51-56:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0:0:0
l_NA4_58_41.dot	C	21	16	58,41	58:72-83:0:0:0:0:5:4:0:0:0:0:0:0:0:5:0:0:0:0:0:0|41:52-57:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0:0:0
l_NA4_58_42.dot	C	21	16	58,42	58:72-83:0:0:0:0:5:4:0:0:0:0:0:0:0:5:0:0:0:0:0:0|42:54-59:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0
l_NA4_58_43.dot	C	21	16	58,43	58:72-83:0:0:0:0:5:4:0:0:0:0:0:0:0:5:0:0:0:0:0:0|43:55-60:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0
l_NB2_58_41.dot	C	21	16	58,41	58:75-83:0:0:2:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|41:52-57:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0:0:0
l_NB2_58_43.dot	C	21	16	58,43	58:75-83:0:0:2:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|43:55-60:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0
l_NB2_58_45.dot	C	22	16	58,45	58:18-74:0:0:2:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|45:51-57:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0
