l_HA_70_26_16.dot	C	23	16	70,26,16	70:81-87:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|26:30-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|16:F24:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0
l_HA_70_26_19.dot	C	23	16	70,26,19	70:73-80:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|26:30-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|19:F28:0:0:0:0:2:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0
l_HA_70_35_16.dot	C	23	16	70,35,16	70:73-80:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|35:36-42:0:0:0:0:5:0:0:0:0:0:0:0:0:5:0:0:0:0:0:0|16:F24:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0
l_HA_70_35_19.dot	C	23	16	70,35,19	70:73-80:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|35:36-42:0:0:0:0:5:0:0:0:0:0:0:0:0:5:0:0:0:0:0:0|19:F28:0:0:0:0:2:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0
l_HA_70_45_16.dot	C	23	16	70,45,16	70:66-72:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|45:43-50:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0|16:F24:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0
l_HA_70_45_19.dot	C	23	16	70,45,19	70:66-72:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|45:43-50:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0:0:0|19:F28:0:0:0:0:2:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0
l_HA_90_26_16.dot	C	23	16	90,26,16	90:88-95:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0:0:0:0:0:0|26:30-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|16:F24:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0
l_HA_90_26_19.dot	C	23	16	90,26,19	90:81-87:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0:0:0:0:0:0|26:30-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0|19:F28:0:0:0:0:2:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0
l_HA_90_35_16.dot	C	23	16	90,35,16	90:81-87:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0:0:0:0:0:0|35:28-35:0:0:0:0:5:0:0:0:0:0:0:0:0:5:0:0:0:0:0:0|16:F24:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0
l_HA_90_35_19.dot	C	23	16	90,35,19	90:81-87:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0:0:0:0:0:0|35:28-35:0:0:0:0:5:0:0:0:0:0:0:0:0:5:0:0:0:0:0:0|19:F28:0:0:0:0:2:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0
