l_MA3_46_43.dot	C	21	16	46,43	46:60-65:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0:0:0|43:F64:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA3_46_44.dot	C	21	16	46,44	46:60-65:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0:0:0|44:F66:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA3_46_45.dot	C	21	16	46,45	46:60-65:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0:0:0|45:64-66:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA4_47_43.dot	C	21	16	47,43	47:61-66:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0:0:0|43:F64:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA4_47_44.dot	C	21	16	47,44	47:61-66:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0:0:0|44:63-65:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA4_47_45.dot	C	21	16	47,45	47:61-66:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0:0:0|45:64-66:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA5_54_37.dot	C	21	16	54,37	54:72-77:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0:0:0:0:0:0|37:F55:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA5_54_38.dot	C	21	16	54,38	54:72-77:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0:0:0:0:0:0|38:54-56:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA5_54_39.dot	C	21	16	54,39	54:72-77:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0:0:0:0:0:0|39:55-57:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA6_59_33.dot	C	21	16	59,33	59:79-84:0:0:0:0:10:0:0:0:0:0:0:0:0:10:0:0:0:0:0:0|33:F49:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA6_59_34.dot	C	22	16	59,34	59:79-84:0:0:0:0:10:0:0:0:0:0:0:0:0:10:0:0:0:0:0:0|34:48-50:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA6_59_35.dot	C	22	16	59,35	59:79-84:0:0:0:0:10:0:0:0:0:0:0:0:0:10:0:0:0:0:0:0|35:49-51:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA7_64_29.dot	C	22	16	64,29	64:87-92:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0:0:0:0:0:0|29:F43:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA7_64_30.dot	C	22	16	64,30	64:79-86:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0:0:0:0:0:0|30:42-44:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA7_64_31.dot	C	22	16	64,31	64:79-86:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0:0:0:0:0:0|31:43-45:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA8_67_28.dot	C	22	16	67,28	67:84-90:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|28:39-41:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MA8_67_29.dot	C	22	16	67,29	67:84-90:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0:0:0:0:0:0|29:40-42:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MC_52_35.dot	C	21	16	52,35	52:75-77:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3:0:0|35:F52:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MC_52_36.dot	C	21	16	52,36	52:75-77:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3:0:0|36:F54:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MC_56_31.dot	C	21	16	56,31	56:81-83:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3:0:0|31:F46:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MC_56_32.dot	C	21	16	56,32	56:81-83:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3:0:0|32:F48:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MC_60_28.dot	C	21	16	60,28	60:87-89:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3:0:0|28:F42:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
l_MC_60_29.dot	C	21	16	60,29	60:85-86:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3:0:0|29:F43:0:0:0:0:3:0:0:3:3:3:0:3:3:3:0:3:3:3:0:0
