l_R_10_20.dot	C	23	10,46	47,31	47:F70:16:16:0:0:1:0:0|31:8-45:0:0:1:1:1:0:0
l_R_10_25.dot	C	23	10,46	47,36	47:F70:16:16:0:0:1:0:0|36:8-53:0:0:1:1:1:0:0
l_R_10_30.dot	C	23	10,46	47,41	47:F70:16:16:0:0:1:0:0|41:8-60:0:0:1:1:1:0:0
l_R_10_40.dot	C	23	10,46	47,51	47:67-69:16:16:0:0:1:0:0|51:8-75:0:0:1:1:1:0:0
l_R_10_50.dot	C	23	10,46	47,61	47:63-65:16:16:0:0:1:0:0|61:8-90:0:0:1:1:1:0:0
l_R_10_60.dot	C	23	10,46	47,71	47:57-62:16:16:0:0:1:0:0|71:8-105:0:0:1:1:1:0:0
l_R_12_12.dot	C	23	10,54	55,23	55:F82:20:20:0:0:1:0:0|23:8-33:0:0:1:1:1:0:0
l_R_12_15.dot	C	23	10,54	55,26	55:F82:20:20:0:0:1:0:0|26:8-38:0:0:1:1:1:0:0
l_R_12_18.dot	C	23	10,54	55,29	55:F82:20:20:0:0:1:0:0|29:8-42:0:0:1:1:1:0:0
l_R_12_20.dot	C	23	10,54	55,31	55:F82:20:20:0:0:1:0:0|31:8-45:0:0:1:1:1:0:0
l_R_12_25.dot	C	23	10,54	55,36	55:F82:20:20:0:0:1:0:0|36:8-53:0:0:1:1:1:0:0
l_R_12_30.dot	C	23	10,54	55,41	55:79-81:20:20:0:0:1:0:0|41:8-60:0:0:1:1:1:0:0
l_R_12_40.dot	C	23	10,54	55,51	55:69-74:20:20:0:0:1:0:0|51:8-75:0:0:1:1:1:0:0
l_R_12_50.dot	C	23	10,54	55,61	55:69-74:20:20:0:0:1:0:0|61:8-90:0:0:1:1:1:0:0
l_R_12_60.dot	C	23	10,54	55,71	55:63-68:20:20:0:0:1:0:0|71:8-105:0:0:1:1:1:0:0
l_R_16_1.dot	C	22	10,70	71,12	71:F106:28:28:0:0:1:0:0|12:F18:0:0:1:1:1:0:0
l_R_16_10.dot	C	23	10,70	71,21	71:103-105:28:28:0:0:1:0:0|21:8-30:0:0:1:1:1:0:0
l_R_16_12.dot	C	23	10,70	71,23	71:103-105:28:28:0:0:1:0:0|23:8-33:0:0:1:1:1:0:0
l_R_16_15.dot	C	23	10,70	71,26	71:99-101:28:28:0:0:1:0:0|26:8-38:0:0:1:1:1:0:0
l_R_16_18.dot	C	23	10,70	71,29	71:93-98:28:28:0:0:1:0:0|29:8-42:0:0:1:1:1:0:0
