l_K1_38.dot	C	17	16	45,36	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|36:F54:2:2:0:0:1:0:0:4:3:4:0:3
l_K1_39.dot	C	17	16	45,37	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|37:F55:2:2:0:0:1:0:0:4:3:4:0:3
l_K1_40.dot	C	17	16	45,38	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|38:F57:2:2:0:0:1:0:0:4:3:4:0:3
l_K1_41.dot	C	17	16	45,39	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|39:F58:2:2:0:0:1:0:0:4:3:4:0:3
l_K2_36.dot	C	17	16	45,36	45:F67:0:0:0:0:7:0:0:0:0:0:0:0|36:F54:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_37.dot	C	18	16	45,37	45:F67:0:0:0:0:7:0:0:0:0:0:0:0|37:F55:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_38.dot	C	18	16	45,38	45:F67:0:0:0:0:7:0:0:0:0:0:0:0|38:F57:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_39.dot	C	18	16	45,39	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|39:F58:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_40.dot	C	18	16	45,40	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|40:F60:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_41.dot	C	18	16	45,41	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|41:F61:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_42.dot	C	18	16	45,42	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|42:F63:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_43.dot	C	18	16	45,43	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0|43:F64:0:2:0:0:1:1:0:0:0:0:0:0
l_K2_44.dot	C	18	16	45,44	45:58-63:0:0:0:0:7:0:0:0:0:0:0:0|44:F66:0:2:0:0:1:1:0:0:0:0:0:0
l_K3_27_2_60.dot	C	23	16	27,60	27:F40:0:0:0:0:1:0:0:3:3:3:0:3|60:87-89:0:0:0:0:10:0:0:0:0:0:0:0
l_K3_27_2_70.dot	C	23	16	27,70	27:37-39:0:0:0:0:1:0:0:3:3:3:0:3|70:88-95:0:0:0:0:12:0:0:0:0:0:0:0
l_K3_27_2_75.dot	C	23	16	27,75	27:37-39:0:0:0:0:1:0:0:3:3:3:0:3|75:88-95:0:0:0:0:13:0:0:0:0:0:0:0
l_K3_27_2_80.dot	C	23	16	27,80	27:10-35:0:0:0:0:1:0:0:3:3:3:0:3|80:88-95:0:0:0:0:14:0:0:0:0:0:0:0
l_K3_27_2_90.dot	C	23	16	27,90	27:10-35:0:0:0:0:1:0:0:3:3:3:0:3|90:96-102:0:0:0:0:16:0:0:0:0:0:0:0
l_K3_36_2_50.dot	C	23	16	36,50	36:F54:0:0:0:0:1:0:0:3:3:3:0:3|50:72-74:0:0:0:0:8:0:0:0:0:0:0:0
l_K3_36_2_60.dot	C	23	16	36,60	36:51-53:0:0:0:0:1:0:0:3:3:3:0:3|60:73-80:0:0:0:0:10:0:0:0:0:0:0:0
l_K3_36_2_70.dot	C	23	16	36,70	36:10-48:0:0:0:0:1:0:0:3:3:3:0:3|70:81-87:0:0:0:0:12:0:0:0:0:0:0:0
l_K3_36_2_75.dot	C	23	16	36,75	36:NONE:0:0:0:0:1:0:0:3:3:3:0:3|75:81-87:0:0:0:0:13:0:0:0:0:0:0:0
